NowGroup,NowHalo,CurrentTime,CurrentGrp,CurrentHalo,NextGrp,NextHalo,SharedParticleCount,SharedDarkParticleCount
10,278,1,10,278,10,61529,177134,43175
10,278,2,10,61529,11,52720,158210,39122
10,278,3,11,52720,10,28670,144472,36874
10,278,4,10,28670,10,13078,130609,35443
10,278,5,10,13078,10,38803,120705,34494
10,278,6,10,38803,10,48683,96060,29862
10,278,7,10,48683,10,18321,86711,29836
10,278,8,10,18321,10,58353,74688,27670
10,278,9,10,58353,9,40258,64087,25101
110,377,1,110,377,110,16090,7672,4179
110,377,2,110,16090,134,73435,5897,3297
110,377,3,134,73435,141,48570,5438,3058
110,377,4,141,48570,149,71066,4956,2572
133,387,1,133,387,134,80308,6009,3389
133,387,2,134,80308,132,34247,5721,3289
133,387,3,132,34247,129,12188,5994,3322
133,387,4,129,12188,120,68655,6147,3411
133,387,5,120,68655,117,51868,6140,3458
133,387,6,117,51868,127,56944,5272,2926
33,451,1,33,451,33,26341,42402,18854
33,451,2,33,26341,34,73497,38345,17413
33,451,3,34,73497,36,44190,36054,16601
33,451,4,36,44190,37,78180,33917,16038
33,451,5,37,78180,34,50734,31001,14733
33,451,6,34,50734,43,19016,24234,11571
33,451,7,43,19016,41,72735,21476,10836
33,451,8,41,72735,41,16164,18552,9836
33,451,9,41,16164,45,49436,14259,7869
33,451,10,45,49436,40,32773,11002,6293
33,451,11,40,32773,116,55033,3792,2427
156,1072,1,156,1072,156,55604,4999,3747
156,1072,2,156,55604,161,36494,4646,3518
156,1072,3,161,36494,170,62095,4507,3365
156,1072,4,170,62095,167,7742,4537,3318
156,1072,5,167,7742,170,28704,4455,3271
156,1072,6,170,28704,179,45934,3802,2800
156,1072,7,179,45934,166,49482,3739,2782
156,1072,8,166,49482,155,44326,3795,2848
156,1072,9,155,44326,134,14513,3908,2937
156,1072,10,134,14513,136,79701,3867,2844
179,1755,1,179,1755,179,75808,3861,3054
179,1755,2,179,75808,202,33849,3180,2489
27,2256,1,27,2256,28,80259,54761,21858
27,2256,2,28,80259,29,60483,49730,20168
27,2256,3,29,60483,31,37323,46553,19233
27,2256,4,31,37323,27,39635,43695,18473
27,2256,5,27,39635,25,30391,42362,18265
27,2256,6,25,30391,26,21703,37532,17344
27,2256,7,26,21703,27,21166,37653,19526
27,2256,8,27,21166,26,34574,29360,15820
27,2256,9,26,34574,30,50551,21365,11617
27,2256,10,30,50551,34,26058,15360,8289
27,2256,11,34,26058,41,9675,12248,6672
27,2256,12,41,9675,82,7458,3478,2430
50,2912,1,50,2912,48,72151,27898,13136
50,2912,2,48,72151,50,27996,26103,12256
50,2912,3,50,27996,52,13236,24787,11531
50,2912,4,52,13236,52,2172,23194,10718
50,2912,5,52,2172,50,81043,22404,10216
50,2912,6,50,81043,54,69736,19479,8762
50,2912,7,54,69736,48,12195,18627,8415
50,2912,8,48,12195,48,43950,16903,7789
50,2912,9,48,43950,42,38557,16154,7822
50,2912,10,42,38557,36,79796,15037,7711
50,2912,11,36,79796,38,20531,13647,7381
70,3297,1,70,3297,70,73436,16775,8950
70,3297,2,70,73436,70,41700,15832,8529
70,3297,3,70,41700,69,42366,15568,8370
70,3297,4,69,42366,69,80962,15271,8255
70,3297,5,69,80962,70,72716,15051,8141
70,3297,6,70,72716,66,18983,13287,7258
70,3297,7,66,18983,64,41400,13000,7234
70,3297,8,64,41400,61,49604,11798,6895
70,3297,9,61,49604,59,64041,10556,6371
70,3297,10,59,64041,79,69635,6611,3668
70,3297,11,79,69635,82,51522,5754,3136
30,4234,1,30,4234,30,23675,52344,22576
30,4234,2,30,23675,31,65934,46719,20441
30,4234,3,31,65934,32,44553,43938,20051
30,4234,4,32,44553,33,47918,41447,19508
30,4234,5,33,47918,29,13995,37074,17501
30,4234,6,29,13995,35,9977,28875,14111
30,4234,7,35,9977,36,19648,26814,13767
30,4234,8,36,19648,35,12044,24428,13304
30,4234,9,35,12044,34,57740,17685,10080
30,4234,10,34,57740,48,28086,12416,7112
30,4234,11,48,28086,52,10942,10097,5841
30,4234,12,52,10942,71,48897,3764,2490
136,4352,1,136,4352,93,59366,6054,2626
136,4352,2,93,59366,37,57718,9779,3922
142,6361,1,142,6361,145,67596,5585,4413
142,6361,2,145,67596,148,44943,5179,4106
142,6361,3,148,44943,158,14635,5029,3990
142,6361,4,158,14635,168,54363,4430,3477
142,6361,5,168,54363,180,10314,3981,3130
56,6488,1,56,6488,55,36841,24828,11630
56,6488,2,55,36841,57,76380,22472,10660
56,6488,3,57,76380,58,13959,21204,10161
56,6488,4,58,13959,57,63481,20213,9803
56,6488,5,57,63481,58,23775,19783,9509
56,6488,6,58,23775,57,65608,16441,8254
56,6488,7,57,65608,57,54252,16072,8160
56,6488,8,57,54252,53,53176,14130,7323
56,6488,9,53,53176,50,33648,12428,6818
56,6488,10,50,33648,46,56251,11403,6811
56,6488,11,46,56251,48,57988,10287,6433
56,6488,12,48,57988,55,75262,4418,3063
62,7200,1,62,7200,61,43464,21840,11763
62,7200,2,61,43464,62,10597,20218,10884
62,7200,3,62,10597,62,69675,19296,10383
62,7200,4,62,69675,62,51584,18648,10219
62,7200,5,62,51584,61,28816,18155,10179
62,7200,6,61,28816,60,19559,16326,9250
62,7200,7,60,19559,58,70462,15519,9179
62,7200,8,58,70462,56,79076,13932,8552
62,7200,9,56,79076,47,23970,13584,8551
62,7200,10,47,23970,41,26327,12081,8049
62,7200,11,41,26327,39,74489,11258,7477
62,7200,12,39,74489,72,52951,3829,2492
139,7380,1,139,7380,139,24576,5800,4283
139,7380,2,139,24576,131,68117,5579,4088
139,7380,3,131,68117,133,59256,6052,4495
139,7380,4,133,59256,124,35131,5891,4344
139,7380,5,124,35131,136,67283,5806,4269
139,7380,6,136,67283,168,59578,4212,3127
59,7508,1,59,7508,57,18945,22393,11329
