nowGroup,currentTime,splitOrder,currentGroup,nextGroup,sharedParticleCount
31077,3,1,30350,29766,5971
31077,6,1,15377,14927,940
31077,2,1,29431,30350,3977
31077,3,1,30483,29997,206205
31077,4,1,29766,41976,6993
31077,1,1,31077,29376,316
31077,5,1,42071,15377,182615
31077,1,1,31077,29517,306
31077,6,1,15126,15164,6687
31077,1,1,31077,29431,276156
31077,4,1,29997,42071,199689
31077,2,1,29319,30191,732
31077,5,1,42004,15058,1900
31077,1,1,31077,29319,784
31077,6,1,15185,14954,384
31077,2,1,29431,30483,237338
31077,5,1,41953,15131,1090
31077,5,1,41976,15126,6708
31077,5,1,42071,15185,390
31077,2,1,29431,30215,458
31077,6,1,15377,15110,625
31077,3,1,30191,29890,993
31077,6,1,15131,14864,1269
31077,6,1,15058,15204,1563
31077,3,1,30215,29827,702
31077,1,1,31077,29394,3681
31077,4,1,29890,42004,1643
31077,4,1,29997,42097,1774
31077,4,1,29827,41953,1071
31077,6,1,15377,15097,165482
