HaloId,GrpId,Timestep,NowGroup,HaloMass,TotalParticles,TotalDarkParticles,MassRatio,Prog
40271,1,1,1,3.68437E+11,1297644,264952,-1,1
14759,1,2,1,3.64561E+11,1287693,261899,-1,1
2058,1,3,1,3.48863E+11,1232961,250022,-1,1
55725,1,4,1,3.3558E+11,1179944,240382,-1,1
28146,1,5,1,3.20917E+11,1125345,229520,-1,1
59832,1,6,1,3.04128E+11,1071761,216771,-1,1
45485,1,7,1,2.77739E+11,961272,198030,-1,1
81194,1,8,1,2.58536E+11,879976,184188,-1,1
67975,1,9,1,2.4481E+11,780537,175490,62.96778283,1
1489,114,9,1,3887861248,6324,2864,62.96778283,0
35127,1,10,1,2.36462E+11,684862,170709,-1,1
76046,1,11,1,2.37484E+11,589313,174111,-1,1
22160,2,12,1,2.27099E+11,485803,166951,-1,1
5624,2,13,1,98046123555,169083,72445,2.831968422,1
48526,3,13,1,34621192387,62720,24682,2.831968422,0
9841,5,13,1,24247767538,47848,16821,-1,0
35600,2,14,1,27142899326,42254,20158,-1,0
39438,3,14,1,25386380790,42976,18492,1.573552145,1
50146,4,14,1,25533629360,41205,18810,-1,0
28627,5,14,1,16133167795,29176,11295,1.573552145,0
76412,16,14,1,5419786299,8242,4040,-1,0
43501,2,15,1,16369194618,24050,12332,-1,0
75649,3,15,1,15997284994,25596,11748,-1,1
15041,4,15,1,15151776960,22448,11392,-1,0
12490,5,15,1,13462867956,20236,10026,-1,0
66245,12,15,1,4896531328,6509,3814,-1,0
66515,2,16,1,11405421201,16835,8556,-1,1
61574,4,16,1,7261406784,10215,5555,-1,0
16575,5,16,1,6651904472,8807,5206,-1,0
50782,6,16,1,5645833104,8277,4233,-1,0
32541,2,1,2,3.84599E+11,1207051,280119,-1,1
64582,2,2,2,3.81138E+11,1197614,277582,-1,1
56168,2,3,2,3.59647E+11,1137111,262447,71.20350697,1
56041,108,3,2,5050972822,8273,3661,71.20350697,0
1958,2,4,2,3.35817E+11,1079356,244507,-1,1
7142,97,4,2,5874621509,9712,4199,-1,0
74387,2,5,2,3.2124E+11,1036509,234319,-1,1
31167,100,5,2,5106383860,8422,3654,-1,0
27740,2,6,2,2.92636E+11,977029,212994,27.4771732,1
24432,65,6,2,10650152798,17475,7998,27.4771732,0
23087,108,6,2,4736437648,7680,3411,-1,0
59738,2,7,2,2.56051E+11,881939,186388,-1,1
8350,58,7,2,11915427350,19037,8949,-1,0
54253,116,7,2,4417380535,6859,3241,-1,0
40555,2,8,2,2.34781E+11,816867,170851,-1,1
62634,55,8,2,11764531327,18451,8862,-1,0
15252,110,8,2,4672641874,6825,3511,-1,0
67189,2,9,2,2.27019E+11,749182,166571,-1,1
55872,50,9,2,11548495859,17590,8748,-1,0
67055,119,9,2,4339555270,6024,3318,-1,0
41996,2,10,2,2.04492E+11,656962,150185,32.9491545,1
7808,44,10,2,11553277208,17371,8787,-1,0
57599,74,10,2,6206293538,9750,4585,32.9491545,0
5167,2,11,2,1.89507E+11,568062,139513,-1,1
49602,35,11,2,11549174974,17232,8767,-1,0
11150,62,11,2,6095636466,9528,4496,-1,0
33454,1,12,2,1.65158E+11,495195,122057,19.1597249,1
73621,36,12,2,10624214560,15547,8097,-1,0
67521,37,12,2,8620057085,15241,6002,19.1597249,0
34718,64,12,2,5655985540,8523,4231,-1,0
60457,1,13,2,90522162003,177075,66738,4.526877896,1
81067,7,13,2,19996598997,35633,14257,4.526877896,0
65769,27,13,2,7490749919,10163,5821,-1,0
77661,58,13,2,3870147010,5259,3004,-1,0
46115,1,14,2,56049911697,93258,41386,-1,1
23452,6,14,2,15145598529,24522,11070,-1,0
806,1,15,2,26768790877,42150,19810,-1,1
79172,6,15,2,11780411686,17093,8969,-1,0
14054,1,16,2,10569262236,16543,7788,2.592026023,1
42621,3,16,2,8625602576,11963,6639,-1,0
