nowGroup,grpID,timeStep,mass,totalParticles,HI,prog,massRatio
31077,42171,5,1356291.753,4,0,0,-1
31077,15199,7,4407948.198,13,0,0,-1
31077,42235,5,4.39E+07,132,0,0,-1
31077,29993,4,339072.9383,1,0,0,-1
31077,42195,5,5764239.951,17,0,0,-1
31077,29962,4,3729802.321,11,0,0,-1
31077,30278,3,6.41E+08,1949,8.063898148,0,-1
31077,42126,5,2034437.63,6,0,0,-1
31077,30379,3,2712583.506,8,0,0,-1
31077,15045,6,1695364.691,5,0,0,-1
31077,35041,4,2034437.63,6,0,0,-1
31077,41936,5,2034437.63,6,0,0,-1
31077,30017,4,6442385.827,19,0,0,-1
31077,14916,7,6781458.766,20,0,0,-1
31077,21811,6,2373510.568,7,0,0,-1
31077,30381,3,678145.8766,2,0,0,-1
31077,30384,3,678145.8766,2,0,0,-1
31077,30347,3,40778.30756,1,0,0,-1
31077,14900,7,1739365.537,6,0,0,-1
31077,42016,5,6442385.827,19,0,0,-1
31077,48312,5,5086094.074,15,0,0,-1
31077,29283,2,1356291.753,4,0,0,-1
31077,42093,5,5086094.074,15,0,0,-1
31077,29791,4,1017218.815,3,0,0,-1
31077,33166,4,2.08E+08,619,0.005974016,0,-1
31077,15133,6,678145.8766,2,0,0,-1
31077,42025,5,1.02E+07,30,0,0,-1
31077,29450,2,4068875.259,12,0,0,-1
31077,30463,3,1017218.815,3,0,0,-1
31077,14840,7,2.88E+07,85,0,0,-1
31077,41925,4,1695364.691,5,0,0,-1
31077,30004,4,3051656.444,9,0,0,-1
31077,15033,7,8137750.519,24,0,0,-1
31077,23133,6,4068875.259,12,0,0,-1
31077,30529,3,3390729.383,10,0,0,-1
31077,30022,4,1356291.753,4,0,0,-1
31077,15092,7,2034437.63,6,0,0,-1
31077,15210,6,5425167.012,16,0,0,-1
31077,42280,5,2.43E+08,727,0.23954958,0,-1
31077,15079,7,2712583.506,8,0,0,-1
31077,30252,3,2034437.63,6,0,0,-1
31077,14872,7,7798677.58,23,0,0,-1
31077,14888,7,7120531.704,21,0,0,-1
31077,29902,4,5425167.012,16,0,0,-1
31077,15111,7,3729802.321,11,0,0,-1
31077,30475,3,4407948.198,13,0,0,-1
31077,30358,3,7.33E+07,220,2.178412065,0,-1
31077,15012,7,4.92E+07,146,0,0,-1
31077,30287,3,1.63E+07,49,0,0,-1
31077,15037,6,4068875.259,12,0,0,-1
31077,36025,4,2712583.506,8,0,0,-1
31077,30437,3,1695364.691,5,0,0,-1
31077,30270,3,1017218.815,3,0,0,-1
31077,29833,4,1017218.815,3,0,0,-1
31077,20876,6,339072.9383,1,0,0,-1
31077,15058,7,1.73E+07,55,0.10165786,0,-1
31077,41987,5,2.03E+07,60,0,0,-1
31077,29291,2,1.10E+08,330,1.069466613,0,-1
31077,15090,6,1695364.691,5,0,0,-1
31077,29895,4,1.80E+07,53,0,0,-1
31077,29900,4,6.04E+07,178,0,0,-1
31077,42000,5,678145.8766,2,0,0,-1
31077,15207,6,1017218.815,3,0,0,-1
31077,30373,3,4.40E+07,135,0,0,-1
31077,42105,5,2.75E+07,81,0,0,-1
31077,42021,5,1017218.815,3,0,0,-1
31077,29492,2,5086094.074,15,0,0,-1
31077,19919,7,3941885.909,12,8.77E-04,0,-1
